Quarter End Date,Open,High,Low,Close,Volume,Dividends,ETF
2022-09-30,30737.76953125,34281.359375,28715.849609375,28725.509765625,21099780000,0.0,^DJI
2022-12-31,28855.25,34712.28125,28660.939453125,33147.25,21953690000,0.0,^DJI
2023-03-31,33148.8984375,34342.3203125,31429.8203125,33274.1484375,20960100000,0.0,^DJI
2023-06-30,33245.78125,34588.6796875,32586.560546875,34407.6015625,18932320000,0.0,^DJI
2023-09-30,34369.78125,35679.12890625,33306.30078125,33507.5,19599410000,0.0,^DJI
2023-12-31,33455.5,37778.8515625,32327.19921875,37689.5390625,19291420000,0.0,^DJI
2024-03-31,37566.21875,39889.05078125,37122.94921875,39807.37109375,20701440000,0.0,^DJI
2024-06-30,39807.9296875,40077.3984375,37611.55859375,39118.859375,22459100000,0.0,^DJI
2024-09-30,39186.19921875,42628.3203125,38499.26953125,42330.1484375,24164120000,0.0,^DJI
2024-12-31,42262.96875,45073.62890625,41647.30078125,42544.21875,27568520000,0.0,^DJI
2025-03-31,42660.08984375,45054.359375,41844.890625,43840.91015625,22807450000,0.0,^DJI
2020-03-31,8667.1396484375,9070.3203125,6631.419921875,7700.10009765625,97320230000,0.0,^IXIC
2020-06-30,7459.5,10221.849609375,7288.10986328125,10058.76953125,272631660000,0.0,^IXIC
2020-09-30,10063.669921875,12074.0595703125,10048.0400390625,11167.509765625,256547330000,0.0,^IXIC
2020-12-31,11291.990234375,12973.330078125,10822.5703125,12888.2802734375,282205040000,0.0,^IXIC
2021-03-31,12958.51953125,14175.1201171875,12397.0498046875,13246.8701171875,416925090000,0.0,^IXIC
2021-06-30,13414.3203125,14535.9697265625,13002.5400390625,14503.9501953125,289383910000,0.0,^IXIC
2021-09-30,14493.6904296875,15403.4404296875,14178.66015625,14448.580078125,272067110000,0.0,^IXIC
2021-12-31,14494.9296875,16212.23046875,14181.6904296875,15644.9697265625,313071340000,0.0,^IXIC
2022-03-31,15732.5,15852.1396484375,12555.349609375,14220.51953125,320731450000,0.0,^IXIC
2022-06-30,14269.5302734375,14534.3798828125,10565.1396484375,11028.740234375,321922580000,0.0,^IXIC
2022-09-30,11006.830078125,13181.08984375,10572.330078125,10575.6201171875,303549930000,0.0,^IXIC
2022-12-31,10659.009765625,11571.6396484375,10088.830078125,10466.48046875,299872180000,0.0,^IXIC
2023-03-31,10562.0595703125,12269.5498046875,10265.0400390625,12221.91015625,326700530000,0.0,^IXIC
2023-06-30,12146.08984375,13864.0595703125,11798.76953125,13787.919921875,299450140000,0.0,^IXIC
2023-09-30,13798.7001953125,14446.5498046875,12963.16015625,13219.3203125,302465930000,0.0,^IXIC
2023-12-31,13217.98046875,15150.0703125,12543.8603515625,15011.349609375,314064800000,0.0,^IXIC
2024-03-31,14873.7001953125,16538.859375,14477.5703125,16379.4599609375,324502510000,0.0,^IXIC
2024-06-30,16397.05078125,18035.0,15222.7802734375,17732.599609375,355347170000,0.0,^IXIC
2024-09-30,17773.900390625,18671.0703125,15708.5400390625,18189.169921875,350633620000,0.0,^IXIC
2024-12-31,18154.939453125,20204.580078125,17767.7890625,19310.7890625,438022640000,0.0,^IXIC
2025-03-31,19403.900390625,20118.609375,18372.990234375,18847.279296875,311656670000,0.0,^IXIC
2020-03-31,12441.4296875,13015.66015625,8664.9404296875,10301.8701171875,162185380000,0.0,^NYA
2020-06-30,9917.3095703125,12836.6796875,9766.7998046875,11893.7802734375,362202230000,0.0,^NYA
2020-09-30,11907.830078125,13299.73046875,11831.0400390625,12701.8896484375,271705430000,0.0,^NYA
2020-12-31,12759.66015625,14533.2099609375,12293.75,14524.7998046875,287561840000,0.0,^NYA
2021-03-31,14601.4501953125,15797.9404296875,14258.25,15601.740234375,327571270000,0.0,^NYA
2021-06-30,15601.740234375,16726.94921875,15601.740234375,16555.349609375,273990130000,0.0,^NYA
2021-09-30,16555.349609375,16944.48046875,15954.6904296875,16144.919921875,250285240000,0.0,^NYA
2021-12-31,16144.919921875,17364.310546875,16094.5,17164.130859375,261272620000,0.0,^NYA
2022-03-31,17164.130859375,17442.5390625,15571.349609375,16670.91015625,311776860000,0.0,^NYA
2022-06-30,16670.91015625,16889.380859375,13993.2001953125,14487.6396484375,305344940000,0.0,^NYA
2022-09-30,14487.6396484375,15897.669921875,13466.98046875,13472.1796875,268181690000,0.0,^NYA
2022-12-31,13472.1796875,15854.1396484375,13278.5595703125,15184.3095703125,273745000000,0.0,^NYA
2023-03-31,15184.3095703125,16222.2001953125,14471.080078125,15374.91015625,274250890000,0.0,^NYA
2023-06-30,15374.91015625,15908.7099609375,14810.5703125,15875.91015625,247773600000,0.0,^NYA
2023-09-30,15875.91015625,16458.890625,15288.4501953125,15398.2099609375,235387000000,0.0,^NYA
2023-12-31,15398.2099609375,16933.619140625,14638.3701171875,16852.890625,246020700000,0.0,^NYA
2024-03-31,16852.890625,18342.240234375,16462.859375,18312.669921875,250104320000,0.0,^NYA
2024-06-30,18312.669921875,18421.919921875,17336.80078125,18026.5,244622510000,0.0,^NYA
2024-09-30,18026.5,19597.3203125,17561.5,19516.439453125,240822520000,0.0,^NYA
2024-12-31,19516.439453125,20332.5,18860.609375,19097.099609375,252579310000,0.0,^NYA
2025-03-31,19097.099609375,20240.58984375,18857.220703125,20028.189453125,180956380000,0.0,^NYA
2020-03-31,2240.080078125,2289.2099609375,1276.0899658203125,1537.0,0,0.0,^XAX
2020-06-30,1489.7099609375,2148.409912109375,1464.199951171875,1993.1500244140625,0,0.0,^XAX
