Ticker,Name,Category,Min Investment
DUSA,Davis Select U.S. Equity ETF,ETF,1.0
ACWI,iShares MSCI ACWI ETF,ETF,1.0
IHI,iShares U.S. Medical Devices ETF,ETF,1.0
ONEO,SPDR Russell 1000 Momentum Focus ETF,ETF,1.0
FSMD,Fidelity Small-Mid Multifactor ETF,ETF,1.0
XSVM,Invesco S&P SmallCap Value with Momentum ETF,ETF,1.0
FLQM,Franklin U.S. Mid Cap Multifactor Index ETF,ETF,1.0
VFQY,Vanguard U.S. Quality Factor ETF Shares,ETF,1.0
EQIN,Columbia U.S. Equity Income ETF,ETF,1.0
VAW,Vanguard Materials Index Fund ETF Shares,ETF,1.0
FNDA,Schwab Fundamental U.S. Small Company ETF,ETF,1.0
ONEY,SPDR Russell 1000 Yield Focus ETF,ETF,1.0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,ETF,1.0
QWLD,SPDR MSCI World StrategicFactors ETF,ETF,1.0
REZ,iShares Residential and Multisector Real Estate ETF,ETF,1.0
PJUL,Innovator U.S. Equity Power Buffer ETF - July,ETF,1.0
RSPR,Invesco S&P 500 Equal Weight Real Estate ETF,ETF,1.0
XNTK,SPDR NYSE Technology ETF,ETF,1.0
XME,SPDR S&P Metals and Mining ETF,ETF,1.0
IJJ,iShares S&P Mid-Cap 400 Value ETF,ETF,1.0
FMAT,Fidelity MSCI Materials Index ETF,ETF,1.0
VT,Vanguard Total World Stock Index Fund ETF Shares,ETF,1.0
PHO,Invesco Water Resources ETF,ETF,1.0
PSP,Invesco Global Listed Private Equity ETF,ETF,1.0
SPHB,Invesco S&P 500 High Beta ETF,ETF,1.0
TLH,iShares 10-20 Year Treasury Bond ETF,ETF,1.0
IJR,iShares Core S&P Small-Cap ETF,ETF,1.0
FNX,First Trust Mid Cap Core AlphaDEX Fund,ETF,1.0
XLB,The Materials Select Sector SPDR Fund,ETF,1.0
IVOV,Vanguard S&P Mid-Cap 400 Value Index Fund ETF Shares,ETF,1.0
SHRY,First Trust Bloomberg Shareholder Yield ETF,ETF,1.0
PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,ETF,1.0
PSCC,Invesco S&P SmallCap Consumer Staples ETF,ETF,1.0
XMVM,Invesco S&P MidCap Value with Momentum ETF,ETF,1.0
MOAT,VanEck Morningstar Wide Moat ETF,ETF,1.0
ESGG,FlexShares STOXX Global ESG Select Index Fund,ETF,1.0
GRPM,Invesco S&P MidCap 400 GARP ETF,ETF,1.0
POCT,Innovator U.S. Equity Power Buffer ETF October,ETF,1.0
EZM,WisdomTree U.S. MidCap Earnings Fund,ETF,1.0
SPGM,SPDR Portfolio MSCI Global Stock Market ETF,ETF,1.0
