Ticker,Name,GICS Sector,Category
LW,Lamb Weston,Consumer Staples,Blue-Chip
LVS,Las Vegas Sands,Consumer Discretionary,Blue-Chip
LDOS,Leidos,Industrials,Blue-Chip
LEN,Lennar,Consumer Discretionary,Blue-Chip
LII,Lennox International,Industrials,Blue-Chip
LLY,Lilly (Eli),Health Care,Blue-Chip
LIN,Linde plc,Materials,Blue-Chip
LYV,Live Nation Entertainment,Communication Services,Blue-Chip
LKQ,LKQ Corporation,Consumer Discretionary,Blue-Chip
LMT,Lockheed Martin,Industrials,Blue-Chip
L,Loews Corporation,Financials,Blue-Chip
LOW,Lowe's,Consumer Discretionary,Blue-Chip
LULU,Lululemon Athletica,Consumer Discretionary,Blue-Chip
LYB,LyondellBasell,Materials,Blue-Chip
MTB,M&T Bank,Financials,Blue-Chip
MPC,Marathon Petroleum,Energy,Blue-Chip
MKTX,MarketAxess,Financials,Blue-Chip
MAR,Marriott International,Consumer Discretionary,Blue-Chip
MMC,Marsh McLennan,Financials,Blue-Chip
MLM,Martin Marietta Materials,Materials,Blue-Chip
MAS,Masco,Industrials,Blue-Chip
MA,Mastercard,Financials,Blue-Chip
MTCH,Match Group,Communication Services,Blue-Chip
MKC,McCormick & Company,Consumer Staples,Blue-Chip
MCD,McDonald's,Consumer Discretionary,Blue-Chip
MCK,McKesson Corporation,Health Care,Blue-Chip
MDT,Medtronic,Health Care,Blue-Chip
MRK,Merck & Co.,Health Care,Blue-Chip
META,Meta Platforms,Communication Services,Blue-Chip
MET,MetLife,Financials,Blue-Chip
MTD,Mettler Toledo,Health Care,Blue-Chip
MGM,MGM Resorts,Consumer Discretionary,Blue-Chip
MCHP,Microchip Technology,Information Technology,Blue-Chip
MU,Micron Technology,Information Technology,Blue-Chip
MSFT,Microsoft,Information Technology,Blue-Chip
MAA,Mid-America Apartment Communities,Real Estate,Blue-Chip
MRNA,Moderna,Health Care,Blue-Chip
MHK,Mohawk Industries,Consumer Discretionary,Blue-Chip
MOH,Molina Healthcare,Health Care,Blue-Chip
TAP,Molson Coors Beverage Company,Consumer Staples,Blue-Chip
MDLZ,Mondelez International,Consumer Staples,Blue-Chip
MPWR,Monolithic Power Systems,Information Technology,Blue-Chip
MNST,Monster Beverage,Consumer Staples,Blue-Chip
MCO,Moody's Corporation,Financials,Blue-Chip
MS,Morgan Stanley,Financials,Blue-Chip
MOS,Mosaic Company (The),Materials,Blue-Chip
MSI,Motorola Solutions,Information Technology,Blue-Chip
MSCI,MSCI,Financials,Blue-Chip
NDAQ,"Nasdaq, Inc.",Financials,Blue-Chip
NTAP,NetApp,Information Technology,Blue-Chip
NFLX,Netflix,Communication Services,Blue-Chip
NEM,Newmont,Materials,Blue-Chip
NWSA,News Corp (Class A),Communication Services,Blue-Chip
NWS,News Corp (Class B),Communication Services,Blue-Chip
NEE,NextEra Energy,Utilities,Blue-Chip
NKE,"Nike, Inc.",Consumer Discretionary,Blue-Chip
NI,NiSource,Utilities,Blue-Chip
NDSN,Nordson Corporation,Industrials,Blue-Chip
NSC,Norfolk Southern Railway,Industrials,Blue-Chip
NTRS,Northern Trust,Financials,Blue-Chip
NOC,Northrop Grumman,Industrials,Blue-Chip
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Blue-Chip
NRG,NRG Energy,Utilities,Blue-Chip
NUE,Nucor,Materials,Blue-Chip
NVDA,Nvidia,Information Technology,Blue-Chip
NVR,"NVR, Inc.",Consumer Discretionary,Blue-Chip
NXPI,NXP Semiconductors,Information Technology,Blue-Chip
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Blue-Chip
OXY,Occidental Petroleum,Energy,Blue-Chip
ODFL,Old Dominion,Industrials,Blue-Chip
OMC,Omnicom Group,Communication Services,Blue-Chip
ON,ON Semiconductor,Information Technology,Blue-Chip
OKE,ONEOK,Energy,Blue-Chip
ORCL,Oracle Corporation,Information Technology,Blue-Chip
OTIS,Otis Worldwide,Industrials,Blue-Chip
PCAR,Paccar,Industrials,Blue-Chip
PKG,Packaging Corporation of America,Materials,Blue-Chip
PLTR,Palantir Technologies,Information Technology,Blue-Chip
PANW,Palo Alto Networks,Information Technology,Blue-Chip
PARA,Paramount Global,Communication Services,Blue-Chip
PH,Parker Hannifin,Industrials,Blue-Chip
PAYX,Paychex,Industrials,Blue-Chip
PAYC,Paycom,Industrials,Blue-Chip
PYPL,PayPal,Financials,Blue-Chip
PNR,Pentair,Industrials,Blue-Chip
PEP,PepsiCo,Consumer Staples,Blue-Chip
PFE,Pfizer,Health Care,Blue-Chip
PCG,PG&E Corporation,Utilities,Blue-Chip
PM,Philip Morris International,Consumer Staples,Blue-Chip
PSX,Phillips 66,Energy,Blue-Chip
PNW,Pinnacle West,Utilities,Blue-Chip
PNC,PNC Financial Services,Financials,Blue-Chip
POOL,Pool Corporation,Consumer Discretionary,Blue-Chip
PPG,PPG Industries,Materials,Blue-Chip
PPL,PPL Corporation,Utilities,Blue-Chip
PFG,Principal Financial Group,Financials,Blue-Chip
PG,Procter & Gamble,Consumer Staples,Blue-Chip
PGR,Progressive Corporation,Financials,Blue-Chip
PLD,Prologis,Real Estate,Blue-Chip
PRU,Prudential Financial,Financials,Blue-Chip
PEG,Public Service Enterprise Group,Utilities,Blue-Chip
PTC,PTC Inc.,Information Technology,Blue-Chip
PSA,Public Storage,Real Estate,Blue-Chip
PHM,PulteGroup,Consumer Discretionary,Blue-Chip
PWR,Quanta Services,Industrials,Blue-Chip
QCOM,Qualcomm,Information Technology,Blue-Chip
DGX,Quest Diagnostics,Health Care,Blue-Chip
RL,Ralph Lauren Corporation,Consumer Discretionary,Blue-Chip
RJF,Raymond James Financial,Financials,Blue-Chip
RTX,RTX Corporation,Industrials,Blue-Chip
O,Realty Income,Real Estate,Blue-Chip
REG,Regency Centers,Real Estate,Blue-Chip
REGN,Regeneron Pharmaceuticals,Health Care,Blue-Chip
RF,Regions Financial Corporation,Financials,Blue-Chip
RSG,Republic Services,Industrials,Blue-Chip
RMD,ResMed,Health Care,Blue-Chip
RVTY,Revvity,Health Care,Blue-Chip
ROK,Rockwell Automation,Industrials,Blue-Chip
ROL,"Rollins, Inc.",Industrials,Blue-Chip
ROP,Roper Technologies,Information Technology,Blue-Chip
ROST,Ross Stores,Consumer Discretionary,Blue-Chip
RCL,Royal Caribbean Group,Consumer Discretionary,Blue-Chip
SPGI,S&P Global,Financials,Blue-Chip
CRM,Salesforce,Information Technology,Blue-Chip
SBAC,SBA Communications,Real Estate,Blue-Chip
SLB,Schlumberger,Energy,Blue-Chip
STX,Seagate Technology,Information Technology,Blue-Chip
SRE,Sempra,Utilities,Blue-Chip
NOW,ServiceNow,Information Technology,Blue-Chip
SHW,Sherwin-Williams,Materials,Blue-Chip
SPG,Simon Property Group,Real Estate,Blue-Chip
SWKS,Skyworks Solutions,Information Technology,Blue-Chip
SJM,J.M. Smucker Company (The),Consumer Staples,Blue-Chip
SW,Smurfit WestRock,Materials,Blue-Chip
SNA,Snap-on,Industrials,Blue-Chip
SOLV,Solventum,Health Care,Blue-Chip
SO,Southern Company,Utilities,Blue-Chip
LUV,Southwest Airlines,Industrials,Blue-Chip
SWK,Stanley Black & Decker,Industrials,Blue-Chip
SBUX,Starbucks,Consumer Discretionary,Blue-Chip
STT,State Street Corporation,Financials,Blue-Chip
STLD,Steel Dynamics,Materials,Blue-Chip
STE,Steris,Health Care,Blue-Chip
SYK,Stryker Corporation,Health Care,Blue-Chip
SMCI,Supermicro,Information Technology,Blue-Chip
SYF,Synchrony Financial,Financials,Blue-Chip
SNPS,Synopsys,Information Technology,Blue-Chip
SYY,Sysco,Consumer Staples,Blue-Chip
TMUS,T-Mobile US,Communication Services,Blue-Chip
TROW,T. Rowe Price,Financials,Blue-Chip
TTWO,Take-Two Interactive,Communication Services,Blue-Chip
TPR,"Tapestry, Inc.",Consumer Discretionary,Blue-Chip
TRGP,Targa Resources,Energy,Blue-Chip
TGT,Target Corporation,Consumer Staples,Blue-Chip
TEL,TE Connectivity,Information Technology,Blue-Chip
TDY,Teledyne Technologies,Information Technology,Blue-Chip
TFX,Teleflex,Health Care,Blue-Chip
TER,Teradyne,Information Technology,Blue-Chip
TSLA,"Tesla, Inc.",Consumer Discretionary,Blue-Chip
TXN,Texas Instruments,Information Technology,Blue-Chip
TPL,Texas Pacific Land Corporation,Energy,Blue-Chip
TXT,Textron,Industrials,Blue-Chip
TMO,Thermo Fisher Scientific,Health Care,Blue-Chip
TJX,TJX Companies,Consumer Discretionary,Blue-Chip
TSCO,Tractor Supply,Consumer Discretionary,Blue-Chip
TT,Trane Technologies,Industrials,Blue-Chip
TDG,TransDigm Group,Industrials,Blue-Chip
TRV,Travelers Companies (The),Financials,Blue-Chip
TRMB,Trimble Inc.,Information Technology,Blue-Chip
TFC,Truist Financial,Financials,Blue-Chip
TYL,Tyler Technologies,Information Technology,Blue-Chip
TSN,Tyson Foods,Consumer Staples,Blue-Chip
USB,U.S. Bancorp,Financials,Blue-Chip
UBER,Uber,Industrials,Blue-Chip
UDR,"UDR, Inc.",Real Estate,Blue-Chip
ULTA,Ulta Beauty,Consumer Discretionary,Blue-Chip
UNP,Union Pacific Corporation,Industrials,Blue-Chip
UAL,United Airlines Holdings,Industrials,Blue-Chip
UPS,United Parcel Service,Industrials,Blue-Chip
URI,United Rentals,Industrials,Blue-Chip
UNH,UnitedHealth Group,Health Care,Blue-Chip
UHS,Universal Health Services,Health Care,Blue-Chip
VLO,Valero Energy,Energy,Blue-Chip
VTR,Ventas,Real Estate,Blue-Chip
VLTO,Veralto,Industrials,Blue-Chip
VRSN,Verisign,Information Technology,Blue-Chip
VRSK,Verisk Analytics,Industrials,Blue-Chip
VZ,Verizon,Communication Services,Blue-Chip
VRTX,Vertex Pharmaceuticals,Health Care,Blue-Chip
VTRS,Viatris,Health Care,Blue-Chip
VICI,Vici Properties,Real Estate,Blue-Chip
V,Visa Inc.,Financials,Blue-Chip
VST,Vistra Corp.,Utilities,Blue-Chip
VMC,Vulcan Materials Company,Materials,Blue-Chip
WRB,W. R. Berkley Corporation,Financials,Blue-Chip
GWW,W. W. Grainger,Industrials,Blue-Chip
WAB,Wabtec,Industrials,Blue-Chip
WBA,Walgreens Boots Alliance,Consumer Staples,Blue-Chip
WMT,Walmart,Consumer Staples,Blue-Chip
DIS,Walt Disney Company (The),Communication Services,Blue-Chip
WBD,Warner Bros. Discovery,Communication Services,Blue-Chip
WM,Waste Management,Industrials,Blue-Chip
WAT,Waters Corporation,Health Care,Blue-Chip
WEC,WEC Energy Group,Utilities,Blue-Chip
WFC,Wells Fargo,Financials,Blue-Chip
WELL,Welltower,Real Estate,Blue-Chip
WST,West Pharmaceutical Services,Health Care,Blue-Chip
WDC,Western Digital,Information Technology,Blue-Chip
WY,Weyerhaeuser,Real Estate,Blue-Chip
WMB,Williams Companies,Energy,Blue-Chip
WTW,Willis Towers Watson,Financials,Blue-Chip
WDAY,"Workday, Inc.",Information Technology,Blue-Chip
WYNN,Wynn Resorts,Consumer Discretionary,Blue-Chip
XEL,Xcel Energy,Utilities,Blue-Chip
XYL,Xylem Inc.,Industrials,Blue-Chip
YUM,Yum! Brands,Consumer Discretionary,Blue-Chip
